,lemma,original_form,tag
0,first,first,MP-SON5
1,tenth,tenth,MD-SON-
2,hundredth,hundredth,NC-S-N-
3,thousandth,thousandth,MP-SON-
4,thousandth,thousandth,GN-S3---
5,millionth,millionth,AP-N-
6,billionth,billionth,AP-N-
7,eleventh,eleventh,MD-SON-
8,twelfth,twelfth,MP-SON-
9,thirteenth,thirteenth,MD-SON-
10,fourteenth,fourteenth,MP-SON-
11,fifteenth,fifteenth,MD-SON-
12,sixteenth,sixteenth,MP-SON-
13,seventeenth,seventeenth,MD-SON-
14,eighteenth,eighteenth,AP-N-
15,nineteenth,nineteenth,MD-SON-
16,second,second,NC-S-N5
17,twentieth,twentieth,MD-SON-
18,hundredth,two-hundredth,AP-N-
19,first,twenty-first,MD-SON5
20,twenty-second,twenty-second,NTUU-N-
21,third,twenty-third,MD-SON-
22,fourth,twenty-fourth,MP-SON-
23,fifth,twenty-fifth,MD-SON-
24,sixth,twenty-sixth,MP-SON-
25,seventh,twenty-seventh,MD-SON-
26,eighth,twenty-eighth,MP-SON-
27,ninth,twenty-ninth,MD-SON-
28,third,third,NC-S-N-
29,thirtieth,thirtieth,MD-SPN-
30,hundredth,three-hundredth,AP-N-
31,first,thirty-first,MD-SON5
32,thirty-second,thirty-second,NTUU-N-
33,third,thirty-third,MP-SON-
34,fourth,thirty-fourth,MD-SON-
35,fifth,thirty-fifth,MP-SON-
36,sixth,thirty-sixth,MD-SON-
37,seventh,thirty-seventh,MP-SON-
38,eighth,thirty-eighth,MD-SON-
39,ninth,thirty-ninth,MP-SON-
40,fourth,fourth,MD-SON-
41,fortieth,fortieth,AP-N-
42,hundredth,four-hundredth,NC-S-N-
43,first,forty-first,MD-SON5
44,forty-second,forty-second,NTUU-N-
45,third,forty-third,MD-SON-
46,fourth,forty-fourth,MP-SON-
47,fifth,forty-fifth,MD-SON-
48,sixth,forty-sixth,MP-SON-
49,seventh,forty-seventh,MD-SON-
50,eighth,forty-eighth,MP-SON-
51,ninth,forty-ninth,MD-SON-
52,fifth,fifth,MP-SON-
53,fiftieth,fiftieth,MD-SPN-
54,hundredth,five-hundredth,AP-N-
55,first,fifty-first,MD-SON5
56,fifty-second,fifty-second,NTUU-N-
57,third,fifty-third,MP-SON-
58,fourth,fifty-fourth,MD-SON-
59,fifth,fifty-fifth,MP-SON-
60,sixth,fifty-sixth,MD-SON-
61,seventh,fifty-seventh,MP-SON-
62,eighth,fifty-eighth,MD-SON-
63,ninth,fifty-ninth,MP-SON-
64,sixth,sixth,MD-SON-
65,sixtieth,sixtieth,AP-N-
66,hundredth,six-hundredth,NC-S-N-
67,first,sixty-first,MD-SON5
68,sixty-second,sixty-second,NTUU-N-
69,third,sixty-third,MD-SON-
70,fourth,sixty-fourth,MP-SON-
71,fifth,sixty-fifth,MD-SON-
72,sixth,sixty-sixth,MP-SON-
73,seventh,sixty-seventh,MD-SON-
74,eighth,sixty-eighth,MP-SON-
75,ninth,sixty-ninth,MD-SON-
76,seventh,seventh,MP-SON-
77,seventieth,seventieth,MD-SON-
78,hundredth,seven-hundredth,AP-N-
79,first,seventy-first,MD-SON5
80,seventy-second,seventy-second,NTUU-N-
81,third,seventy-third,MD-SON-
82,fourth,seventy-fourth,MP-SON-
83,fifth,seventy-fifth,MD-SON-
84,sixth,seventy-sixth,MP-SON-
85,seventh,seventy-seventh,MD-SON-
86,eighth,seventy-eighth,MP-SON-
87,ninth,seventy-ninth,MD-SON-
88,eighth,eighth,MP-SON-
89,eightieth,eightieth,MD-SON-
90,hundredth,eight-hundredth,AP-N-
91,first,eighty-first,MD-SON5
92,eighty-second,eighty-second,NTUU-N-
93,third,eighty-third,MD-SON-
94,fourth,eighty-fourth,MP-SON-
95,fifth,eighty-fifth,MD-SON-
96,sixth,eighty-sixth,MP-SON-
97,seventh,eighty-seventh,MD-SON-
98,eighth,eighty-eighth,MP-SON-
99,ninth,eighty-ninth,MD-SON-
100,ninth,ninth,MP-SON-
101,ninetieth,ninetieth,MD-SON-
102,hundredth,nine-hundredth,AP-N-
103,first,ninety-first,MD-SON5
104,ninety-second,ninety-second,NTUU-N-
105,third,ninety-third,MP-SON-
106,fourth,ninety-fourth,MD-SON-
107,fifth,ninety-fifth,MP-SON-
108,sixth,ninety-sixth,MD-SON-
109,seventh,ninety-seventh,MP-SON-
110,eighth,ninety-eighth,MD-SON-
111,ninth,ninety-ninth,MP-SON-
112,an,an,QD-SPN8
113,as,as,CSCN7
114,aardvark,aardvarks,NC-P-N-
115,ABS,ABS,NC-S-S-
